"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2041","User login with wrong email or password","LMS system","Mon Mar 16 07:12:14 UTC 2026","passed","Mon Mar 16 07:12:16 UTC 2026","Authorization","Authentication","",""
"","1846","User login with wrong email or password","LMS system","Mon Mar 16 07:12:17 UTC 2026","passed","Mon Mar 16 07:12:19 UTC 2026","Authorization","Authentication","",""
"","3544","User login with correct email and password","LMS system","Mon Mar 16 07:12:17 UTC 2026","passed","Mon Mar 16 07:12:20 UTC 2026","Authorization","Authentication","",""
"","2368","Registration with correct email, username and password","LMS system","Mon Mar 16 07:12:19 UTC 2026","passed","Mon Mar 16 07:12:22 UTC 2026","Registration","Authentication","",""
"","1911","Navigation from login page to registration page","LMS system","Mon Mar 16 07:12:21 UTC 2026","passed","Mon Mar 16 07:12:23 UTC 2026","Authorization","Authentication","",""
"","2082","User login with wrong email or password","LMS system","Mon Mar 16 07:12:14 UTC 2026","passed","Mon Mar 16 07:12:16 UTC 2026","Authorization","Authentication","",""
"","1751","Check displaying of empty courses list","LMS system","Mon Mar 16 07:12:23 UTC 2026","passed","Mon Mar 16 07:12:25 UTC 2026","Courses","Courses","",""
"","4033","Create course","LMS system","Mon Mar 16 07:12:25 UTC 2026","passed","Mon Mar 16 07:12:29 UTC 2026","Courses","Courses","",""
"","2419","Check displaying of dashboard page","LMS system","Mon Mar 16 07:12:31 UTC 2026","passed","Mon Mar 16 07:12:34 UTC 2026","Dashboard","Dashboard","",""
"","4797","Edit course","LMS system","Mon Mar 16 07:12:26 UTC 2026","passed","Mon Mar 16 07:12:30 UTC 2026","Courses","Courses","",""
