"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1854","User login with wrong email or password","LMS system","Mon Mar 16 07:15:25 UTC 2026","passed","Mon Mar 16 07:15:27 UTC 2026","Authorization","Authentication","",""
"","1650","User login with wrong email or password","LMS system","Mon Mar 16 07:15:27 UTC 2026","passed","Mon Mar 16 07:15:29 UTC 2026","Authorization","Authentication","",""
"","1957","User login with wrong email or password","LMS system","Mon Mar 16 07:15:25 UTC 2026","passed","Mon Mar 16 07:15:27 UTC 2026","Authorization","Authentication","",""
"","1929","Check displaying of dashboard page","LMS system","Mon Mar 16 07:15:40 UTC 2026","passed","Mon Mar 16 07:15:42 UTC 2026","Dashboard","Dashboard","",""
"","3587","Create course","LMS system","Mon Mar 16 07:15:34 UTC 2026","passed","Mon Mar 16 07:15:38 UTC 2026","Courses","Courses","",""
"","1645","Navigation from login page to registration page","LMS system","Mon Mar 16 07:15:29 UTC 2026","passed","Mon Mar 16 07:15:31 UTC 2026","Authorization","Authentication","",""
"","1792","Registration with correct email, username and password","LMS system","Mon Mar 16 07:15:31 UTC 2026","passed","Mon Mar 16 07:15:32 UTC 2026","Registration","Authentication","",""
"","1609","Check displaying of empty courses list","LMS system","Mon Mar 16 07:15:33 UTC 2026","passed","Mon Mar 16 07:15:34 UTC 2026","Courses","Courses","",""
"","4273","Edit course","LMS system","Mon Mar 16 07:15:35 UTC 2026","passed","Mon Mar 16 07:15:39 UTC 2026","Courses","Courses","",""
"","3022","User login with correct email and password","LMS system","Mon Mar 16 07:15:27 UTC 2026","passed","Mon Mar 16 07:15:30 UTC 2026","Authorization","Authentication","",""
